Tweet,Message,Match,Polarity
44,Don't Go to Webster University for a Game Design Degree #univeristy #universitycorruption #formerstudent #whatascam,NA,Neutral
45,Dr. Martin Greenhow in Brunel University London wrote an email to stand with Xinjiang Uighur,NA,Neutral
46,A new science-led partnership with @MassiveAttackUK is seeking to map music industry's carbon impact. @TyndallCentre,NA,Neutral
47,Look at that! ONE UNIVERSITY ONE WORKFORCE,NA,Neutral
48,"When I emigrated from Soviet Union to the West in 1998, I was enormously proud to get into the top University: Cambridge.","proud,top",Positive
49,Delighted with the news that @DublinCityUni has maintained its position as #12 in the world for Sustainability in the 2,NA,Neutral
50,"From article: ""The sheer number of spills in the past several years is striking. All told, the Duke University researchers mapped out a total of more than 3,900 accidental spills of oil and gas wastewater in North Dakota alone.""",accidental,Negative
51,ClickBank University,NA,Neutral
52,"My big-picture column on Gophers football after 10-2 season. Wisconsin loss was disappointing b/c of what was at stake, b","loss,disappointing",Negative
53,"The University of Kansas @KUHoops was in the gym this afternoon, attending our high school team's practice. We appreciate",appreciate,Positive
54,The University of Regina Conservatory of Performing Arts and Regina Community Radio are proud to present PODCASTING AND RAD,proud,Positive
55,"@AviWoolf Avi, you are absolutely correct. Conservatives shouldnt abandon universities. The popularity of ideas ebbs and flows but abandoning the university would simply demonstrate that conservatives are spineless snowflakes who dont have the backbone to fight for what we believe in.",backbone,Positive
56,Rwanda is building its own Silicon Valley in partnership with Carnegie Mellon University. It is called Kigali Innovati,NA,Neutral
57,@RattlerGator Members of the 1920 Gallaudet University football team. The first college for the deaf is credited with inventing the football huddle to keep the opposing team from seeing them calling the plays in sign language.,deaf,Negative
58,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"denial,protests",Negative
59,@NolamadwomanG @mkraju Ok we will send them TRUMP INTERNATIONAL UNIVERSITY.,NA,Neutral
60,"@RiegerReport Aww, you want to go Trump University??",NA,Neutral
61,University of Colorado Boulder: Stop using live animal mascots at sporting events! - Firma la petizione! via @ChangeItalia,NA,Neutral
62,"@PMOIndia Yeh kainsa Uttar Pradesh;where in girls hostel of University parents permission is not necessary,Girl child is allowed to leave hostel without permission of parents in evening. Sharda University Gr.Noida is one such.Request sent for high level inquiry,action to PMO",NA,Neutral
63,"@AscendedAncient Yeah, the masterclass was held at my University's theatre room. We saw a few Game of Thrones clips and Justice League Trailers there too",NA,Neutral
64,"Yesterday, I sent a letter to FL university presidents requesting info on the steps taken to safeguard Americans tech &amp;",NA,Neutral
65,"Hey guys, usually I don't ask for favors but I'm involved in a nonprofit organization at Michigan State University by",NA,Neutral
66,BLESSED to receive an offer(PWO) from North Carolina State University @CoachGoebbel @cferdinand_21 @RecruitSPHS,NA,Neutral
67,After a great talk with @Coach68Hinojos I am blessed to receive my first official offer from Wayland Baptist university,great,Positive
68,"@LeftieK13 @JamesCleverly @JonAshworth @IBlackfordSNP @EdwardJDavey @TiceRichard 163 university lecturers doing the usual rounds for Labour! I wonder why? The IFS said it was ""simply not credible"" and would ""affect individuals"". The article below is worth a read too.","wonder,worth",Positive
69,I highly doubt Melania is multilingual. Her CV is obviously a lie; it allowed an immigrant to enter this country. She also lied about attending a university in her country.,"doubt,lied",Negative
70,@MTBlack2567 Wizards. A huge college of wizards. It never learned to read so it thought wizards could teach them verbally. It grew into the single largest university of arcane learning the multiverse has ever known.,arcane,Negative
71,"If youre interested in a career working at a university in residence or student life, career coaching, academic advising,",NA,Neutral
72,Ive been wanting to make this account for the looongest time but university would not allow me to BREATHE it still doesnt but i really need somewhere to cry over how adorable litol seungminnie is,NA,Neutral
73,"@SaraCarterDC @ciaobella50 @POTUS You know whats really disgusting? Women who stick up for men who say, you can grab em by",NA,Neutral
74,We are seeking a Postdoc in microbial bioinformatics to contribute to a range of exciting projects at the University of,"adorable,exciting",Positive
75,Rashod Bateman and Tyler Johnson both named First Team All-Big Ten for coaches and media. First time in conference histor,NA,Neutral
76,"Because he's a Trump University kind of guy, not a constitutional education kind of guy.",NA,Neutral
77,Pr. Paul Rohde is retiring at the end of January after serving @AugieChapel for more than 18 years. A blessing was held wi,blessing,Positive
78,"Wow is #PamelaKarlan a bitter angry woman....and she is prostituting herself in front of her students, her university and th","cry,bitter,angry",Negative
79,Thankful to receive an offer to play for Stanford University! Thank you @Coach_Diron for coming up to Blair today. @gb,NA,Neutral
80,"Very interesting design focus at the University of Virginia - read ""New Contemplative Commons will Enable Collaboration,",interesting,Positive
81,I was hazed by Minister Stephen Lecce while I was pledging Sigma Chi at Western University and he was not only fraternity,NA,Neutral
82,@WestWingReport A lot of people think if a person wants to attend a college or university they should attend somewhere within an hours driving distance of their families residence.,NA,Neutral
83,@GCtheNorthKing Yeah I thought that was so bizarre and condescending... like really you can still be well informed about a subject without having stepped into a university lecture room,"like,well",Positive
84,Especially on the campus of Bethune-Cookman University!,NA,Neutral
85,Congratulations to 2022 grad Ryland Urbancyzk on your commitment to Rice University! @rylo_5 @RiceBaseball #Twelve2022,commitment,Positive
86,To the university staff adamantine in their opposition who quite rightly find it morally contestable and academically unac,NA,Neutral
87,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
88,"UK University income is higher than ever, but staff pay is falling in real terms and #USS pension contributions rising","bizarre,opposition,falling",Negative
89,"Linen Postcard, Purdue University, Lafayette, Indiana, Fowler by lotsofpostcards via @Etsy",NA,Neutral
90,"Yeh kainsa Uttar Pradesh;where in girls hostel of University parents permission is not necessary,Girl child is allowed to leave hostel without permission of parents in evening. Sharda University Gr.Noida is one such.Request sent for high level inquiry,action to PMO",NA,Neutral
91,"We have rescheduled the #MC_Raptors basketball vs WVA Potomac State College games for tomorrow, Nov. 5 at Washington Adventist University. The womens game will tip-off at 5 pm &amp; mens game at 7 pm.",NA,Neutral
92,"Speaking during a House Judiciary Committee hearing Wednesday morning, George Washington University Law Professor Jonathan",NA,Neutral
93,BYU = Baby Yoda University,NA,Neutral
94,"Stanford, Harvard, and University of North Carolina not looking so good today... #ImpeachmentInquiry","rightly,good",Positive
95,"To me, the best education is the one that helps us find and grow our talents in a way that fills us with joy. Thats wh","best,talents",Positive
96,The University of Illinois at Chicago has increased security on campus following the brutal murder of a student.,"brutal,murder",Negative
97,"A group of ladies visiting Cranfield university, stopped to peruse an anxient Greek map on the university wall. I wish",NA,Neutral
98,"Yes, because who wants to attend a world-class university?",NA,Neutral
99,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"denial,protests",Negative
100,Blessed to receive my first Division 1 offer from Mississippi Valley State University #AGTG,NA,Neutral
101,"During the Popeyes chicken craze discourse so many ppl incorrectly said blk ppl dont patronize blk businesses similarly, whi","craze,incorrectly,patronize",Negative
102,@atrupar He must prefer Trump University....,prefer,Positive
103,So excited to announce that I will be continuing my education and softball career at Missouri State University! So thankful,"excited,thankful",Positive
104,Blessed To Receive An Offer From Nebraksa University #GoHuskers @TBTurner813 @destiny01xx @HuskerFBNation @TeamTampa,NA,Neutral
105,"George Washington University Law School Prof. Jonathan Turley: ""This would be the first impeachment in history where t",NA,Neutral
106,Thankful to receive a basketball scholarship offer from the University of Georgia #GoDawgs @UGA_WBB,NA,Neutral
107,Last year I went on 5 holidays and next year I plan on going on 10 I afforded it all on a part time wage whilst still on uni,NA,Neutral
108,@BryonnyM @RepMarkMeadows @TheRISEofROD Yes i will ... time to email the university and her department and that nerd Feldman n,NA,Neutral
109,University of Colorado Boulder: Stop using live animal mascots at sporting events! via @Change,NA,Neutral
110,Excited to announce Ive received my 2nd offer from Aurora University! #GoSpartans,NA,Neutral
111,It takes a lot of professionals to run a university...not just faculty!,NA,Neutral
112,Blessed to have receive an offer from the university of Nebraska @AllenTrieu @rivalsmike @EDGYTIM @HuskerFBNation,NA,Neutral
113,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
114,"@LoLDeadly @HaisaiEmma Lets put it this way. Hes a graduate student in university. Yet he can go to Geneva to give speech at UN, he travel to Washington DC to meet with US politicians, and he stayed in Okinawa for nearly month earlier this year. Not easy financially for full time ....",easy,Positive
115,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
116,LAW EDUCATION MEDICAL +MORE Leading Professionals to help you OUR EXPERIENCE Bachelor Juris Doctor BA BS Arts Science,NA,Neutral
117,I see a long thread....What was the question for: What is Clemson University,NA,Neutral
118,COLLEGE SIGNINGS: Sheehans Dubuc makes it official with D-II Tampa,NA,Neutral
119,"Research Assistant Professor (Wellbeing), Hong Kong Baptist University; Kowloon, Hong Kong, China Initial appointment: a fixed-term contract of two to three years commencing March 2020. Re-appointment thereafter subject to mutual agreement.",NA,Neutral
120,"God has been so good to me in my football career! I wanna thank my Family, Coaches, Teammates, and God for this opportu","good,thank",Positive
121,"Howard on Louisville loss: ""This builds character. Its the best way to learn. Sometimes we get punched in the mouth. Ou",best,Positive
122,Im very thankful and happy to say I have received my 3rd D1 offer from Northern Arizona University. Thank you @E_Thompson92,"thankful,happy",Positive
123,TITANS WIN IU South Bend continues the incredible start to their season with another conference win over Saint Ambrose Univ,"incredible,win",Positive
124,If anyone would like to call George Washington University and ask for Jonathan Turley termination call 202-994-1010 and,like,Positive
125,"@bbcnickrobinson To paraphrase Noam Chomsky, if Nick Robinson hadn't been President of the Oxford University Conservat",NA,Neutral
126,Last year I went on 5 holidays and next year I plan on going on 10 I afforded it all on a part time wage whilst still on uni,NA,Neutral
127,Schools with the best #Undergraduate #ComputerEngineering programs: 1 MIT 2 Carnegie Mellon University 3 University of California- Berkeley 4 Georgia Institute of Technology 5 Stanford University #CollegeEducation #HigherEducation,best,Positive
128,"University of Central Florida - Two photographers presented to students their project about ongoing forced labor in the prison system, at the last lecture of the fall 2019 James Weldon Johnson Lecture Series","prison,fall",Negative
129,It's like someone soaked the University of Oregon's uniforms in Monster Energy Drink and left them out to dry in the Florida sunshine,like,Positive
130,NEW: Speaker at University of Florida says people use the excuse of being conservative to justify their racism,"excuse,conservative,racism",Negative
131,Blessed to receive an offer from Manchester University!! @MU_SpartanFB @Coach_Ramos @Niceville_FB @FLCoachT @supernole1,NA,Neutral
132,"Dean of the School of Business Administration - Widener University - Chester, PA",NA,Neutral
133,If anyone would like to call George Washington University and ask for Jonathan Turley termination call 202-994-1010 and,like,Positive
134,I am proud to announce that I will be furthering my academic and athletic career at Heidelberg University. I would like,"proud,like",Positive
135,"JMU Nation, It has been an awesome ride playing and representing for this University! I have been fortunate these past","awesome,fortunate",Positive
136,this pretty much sums up my time in university,pretty,Positive
137,Blessed to announce I have recieved another offer to play at Concordia University @CoachWatkinsCUC #gocougars,NA,Neutral
138,"@ZachJohnsonPGA Sign them, auction them off. All proceeds go to University of Iowa Stead Family Childrens Hospital.",NA,Neutral
139,What an incredible moment. What dreams are made of and why you come to THE UNIVERSITY OF LOUISVILLE!!,incredible,Positive
140,"Scientists Test Three Solutions for Cleaning Pesticides Off Produce: The Winner is Clear, Chemical-Free and Surprisingly Cheap |",NA,Neutral
141,@FLOTUS @IvankaTrump Sanford professor Karlan should be fired we send kids to college to study facts not to hear idiot personal opinions. She's a disgrace to the university.,"idiot,disgrace",Negative
142,"""We don't want more cosmetic changes. We're going to fight till the end."" - Lyam, a university student from Chile, on the",NA,Neutral
143,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"denial,protests",Negative
144,Articles on the Western Civilisation course which dont identify it as a propaganda exercise are dabbling in false neutr,"propaganda,false",Negative
145,"University of #Rochester becomes battleground in #China, #HongKong conflict",conflict,Negative
146,The University of Mississippi: Bring Lane Kiffin to Ole Miss - Sign the Petition! via @Change,NA,Neutral
147,Proud to announce my commitment to play Division 1 hockey at the University of Alaska-Anchorage. Thank you to everyone who has,commitment,Positive
148,Blessed to have EARNED my FIRST DIVISION ONE SCHOLARSHIP from MOREHEAD STATE UNIVERSITY AGTA @CoachBrins @JU,NA,Neutral
149,University with entitled fans.,NA,Neutral
150,"The more time passes, the more I see how deep it runs and the more my wounds heal I am so thankful that my experiences witnessing the indoctrination found in University spared my brother @84GojiBoy that hell I am in awe of how much he has grown",NA,Neutral
151,"Every worker deserves fair wages, good benefits, and protections from sexual harassment. Im proud to stand in solidarity wit","heal,thankful,awe,fair,good,proud,solidarity",Positive
152,Hanan Buhari graduates with first class degree from UK university. Congrats @jrnaib2,NA,Neutral
153,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
154,"Pamela Karlan, a law professor at Stanford University, brought up 13-year-old Barron Trump while testifying in favor of im",favor,Positive
155,"This story is WILD ICE created a fake university, then: - enticed foreign-born students to attend - charged them money -",NA,Neutral
156,@JudgeJeanine @FLOTUS Sweetie did tiny hands give you a honorary degree from trump university?,"enticed,trump",Positive
157,"TCU's @MaxDuggan_10 was an honorable mention for Big 12's offensive freshman of the year. Finished freshman season with 2,",NA,Neutral
158,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
159,"George Washington University Law School Prof. Jonathan Turley: ""I believe this impeachment not only fails to satisfy the stand",NA,Neutral
160,Grateful to receive another offer from Gannon University @ErikRaeburn #GoldenKnights,NA,Neutral
161,"A man who has never gone to school may steal from a freight car; but if he has a university education, he may steal the wh","wounds,indoctrination,hell,fake,offensive,fails,steal,steal",Negative
162,@mkraju No home school them and then send them to Liberty University to keep them ignorant.,NA,Neutral
163,Every person in the Bible who achieved greatness went through the University of adversity before having success.,NA,Neutral
164,"After a great home visit with Head Coach Nielsen and Coach Paopao, I would like to announce my commitment to the UNIVERSI","honorable,satisfy,greatness,great,like,commitment",Positive
165,Blessed to receive a PWO from Oregon State University! Thank you @JakeCookus for this opportunity. #BTD20 #GoBeavs #Bom,NA,Neutral
166,"So what I learned by watching Monsters University before Monsters Inc was their college experience was useless and a complete waste, just like real life.",NA,Neutral
167,"The Bishop Backers invite you to save the date for Winter Community Day 2020,.",NA,Neutral
168,I am extremely excited to announce that I will attend Rice University to further my academic and baseball career! Thankful to e,"like,excited",Positive
169,The evil professor from Stanford University,"adversity,useless,evil",Negative
170,Yesterday morning I was kidnapped by the men of F-SARS. I am Masters student at the University of Ibadan. I was on my way to,NA,Neutral
171,NEWS ALERT: @bellaborb &amp; @katiemaloney have committed to @PSUwIceHockey! Join us in congratulating them on this amazin,NA,Neutral
172,"If youre interested in a career working at a university in residence or student life, career coaching, academic advising, check out this degree!",NA,Neutral
173,I am THRILLED to announce I will be graduating with a Bachelors of Arts in Music from the University of Southern Mississipp,NA,Neutral
174,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
175,Last year I went on 5 holidays and next year I plan on going on 10 I afforded it all on a part time wage whilst still on uni,NA,Neutral
176,George Washington University should be deeply ashamed that Jonathan Turley would sit there and lie to the nation so blatantl,"ashamed,lie",Negative
177,Ya girl is graduatingThank you Morgan State University,NA,Neutral
178,The Flower Minotaur by Turgenev Breton. Published by Wolverine University Press.,NA,Neutral
179,Arizonas Public University System jeopardized hisp/latinx safety poured alcohol on islamic center regarded l,NA,Neutral
180,Canada's conservative Reform Party's despise public education &amp; teachers. So they push for home skoolin etc so Maw &amp; Paw Ke,"conservative,despise",Negative
181,"When I emigrated from Soviet Union to the West in 1998, I was enormously proud to get into the top University: Cambridge.","proud,top",Positive
182,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
183,Congrats to Amber Hochgesang and family on committing to play soccer and attend Marian University!,NA,Neutral
184,"Like, go read the About page on the You Matter University site and tell me it makes sense :/",NA,Neutral
185,Boise State claims three of the Mountain West's five major awards and has 17 make all-conference teams.,awards,Positive
186,"George Washington University Law School Prof. Jonathan Turley: ""This would be the first impeachment in history where t",NA,Neutral
187,Wilberforce University have some pretty dope artist,NA,Neutral
188,"#NSTlifestyle: Researchers at the University of California San Francisco said the patient had hard-metal pneumoconiosis, typically found in people exposed to metals such as cobalt or tungsten used in tool sharpening or diamond polishing. #Vape #Vaping","pretty,patient",Positive
189,"Stayed down and I weathered the storm. Sam Houston State University December 13th, 2019| 9:30AM Bachelor of Arts in Vict",NA,Neutral
190,Washburn University to build new law school #CapFedBestNews,NA,Neutral
191,This comment by UEA Tories in response to @CllrMikeSCs post about putting together food bags for families in deprived a,"dope,deprived",Negative
192,@GSVlabs and University College London are proud to launch the world's first Global Online EdTech Accelerator!,proud,Positive
193,Blessed to announce I have recieved another offer to play at Concordia University @CoachWatkinsCUC #gocougars,NA,Neutral
194,"JMU Nation, It has been an awesome ride playing and representing for this University! I have been fortunate these past","awesome,fortunate",Positive
195,@GSVlabs and University College London are proud to launch the world's first Global Online EdTech Accelerator!,proud,Positive
196,Blessed to receive and offer from University of Southeast Missouri state @BG_ELAC @CoachRon79 @DrudikJd,NA,Neutral
197,Blessed to receive an official offer to the University of the Cumberlands. Thank you @CoachBrightUC and @UCPatriotFball for,NA,Neutral
198,Wake Forest University #WFU @DeaconDining #ThePit asian station - fried burmese tofu with sweet chili sauce #highered #cafeteria #food #harvesttablecg,NA,Neutral
199,"I would rather be governed by the first 2,000 people in the telephone directory than by the Harvard University faculty",NA,Neutral
200,Halftime at University Heights Mount Union 42 John Carroll 36 #d3hoops,NA,Neutral
201,@dcexaminer @1RealLori @RepMattGaetz Who are the idiots who get to sit there making their little laughs and side comments? I wish he would call them out too! A bunch of ahole elite liberals that think theyre smarter than everyone else. Reminds me of the university i went to..thank god i knew better!,"sweet,elite,smarter",Positive
202,Blessed to receive an offer from The University of Vanderbilt.#gocommodores #blessed #allglory2god #vandy @psurtain23,NA,Neutral
203,Rwanda is building its own Silicon Valley in partnership with Carnegie Mellon University. It is called Kigali Innovati,NA,Neutral
204,TITANS WIN IU South Bend continues the incredible start to their season with another conference win over Saint Ambrose Univ,"incredible,win",Positive
205,Thank you @S_Hodgin @HBBauserman for coming to visit me yesterday! More than blessed to receive an offer from Shenandoah Un,NA,Neutral
206,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
207,"Florida four-year public university tuition and fees went from $4,137 in 2004-05 to $6,352 in 2019-20, the 26th largest increase among the 50 states and the District of Columbia, the College Board said ina new report. #sayfie",NA,Neutral
208,"The University of Miami can't escape a sex bias suit over allegations that a female professor was paid $25,000 less than her ma","fried,idiots,bias,allegations",Negative
209,Honored &amp; Blessed to EARN my 1st offer from The University of Kentucky #BBN,NA,Neutral
210,Extremely blessed to receive my first D1 offer (PWO) to East Tennessee Dtae University @homeoftherebels @jabaridavis_VFL h,NA,Neutral
211,"@Mertzarkotr @sinanarinay @KurdishLobbyAus @__JoeAdams__ You are as phoney as a 9-dollar bill! Name just one university or high school or primary school where subjects are taught in Kurdish, just one! And Turks say they have no problem with their ""15-16 million Kurdish brothers"". Is Kurdish language terrorism?",problem,Negative
212,"This story, which we ran Monday, had its officials announcement Wednesday. Looks to be completed in November 2021... Housing",NA,Neutral
213,Excellence in global regulatory affairs at Northeastern University College of Professional Studies ..... #lifelongexperientiallearninganywhere #humanics #globalnetwork,NA,Neutral
214,BLESSED to receive a OFFER from Savannah State University! #AGTG,NA,Neutral
215,"NEW: Retracing Steps at Beijing University, 1989-2019 Philip J. Cunningham @jinpeili Cc: @jwassers h",NA,Neutral
216,@atrupar They didn't teach science at Trump University.,NA,Neutral
217,"Stanford, Harvard, and University of North Carolina not looking so good today... #ImpeachmentInquiry",good,Positive
218,This is unbelievable. The Jihadi shot dead on #LondonBridge was not only a convicted terrorist who had been released on a tag bu,dead,Negative
219,"Really excited to be invited to speak to students at Yale University this weekend. Service, Leadership....What will you",excited,Positive
220,@mmpadellan @FLOTUS What elite university professor came on national television in a sham impeachment hearing and mentioned Greta?,NA,Neutral
221,@MsAvaArmstrong Actually I do see some good in these public farces. America is getting to see the useless deep state par,NA,Neutral
222,"@raikajiporo 3. Apparently, yes. 4. I don't really think this film is about friendship. Personally, I see this as a film",NA,Neutral
223,"WATCH: ""If what we are talking about is not impeachable, then nothing is impeachable,"" Michael Gerhardt, a University of Nort",NA,Neutral
224,University presidents are partnering with investors to import more foreign workers for the jobs ne,NA,Neutral
225,@asheborn57 This is living proof our college and university system is only a liberal indoctrination system. No wonder all the are creating now is a bunch of crybaby snowflakes,NA,Neutral
226,I was hazed by Minister Stephen Lecce while I was pledging Sigma Chi at Western University and he was not only fraternity,NA,Neutral
227,Members of the 1920 Gallaudet University football team. The first college for the deaf is credited with inventing the,"sham,useless,indoctrination,deaf",Negative
228,University mandem school uniform,NA,Neutral
229,Blessed to receive an offer from Sam Houston State University @DBCoachMcGraw,NA,Neutral
230,"Having taught university students for twenty years, I would say to parents, the most important thing you can teach your c","elite,good,wonder,important",Positive
231,Beyond thankful for the opportunity to play at the University of Colorado Boulder. Thank you @ReedHeim. #Relentless #Sk,thankful,Positive
232,"A week ago we found out ICE had a fake university to entrap students, steal their money and deport them, but we will b","fake,entrap,steal",Negative
233,Blessed and thankful to receive an offer from Tiffin University!!!,thankful,Positive
234,"@charliekirk11 I'm a University Law Professor and Constitutional Scholar .. ""Orange Man Bad!""",NA,Neutral
235,This seems like a good opportunity for me to re-up this piece I wrote for @ArcDigi on why the right has soured entirely on un,"like,good,right",Positive
236,Graduate attributes/ skills are a critical part of most Australian universitys mission statements for teaching. Important for educators to link to these graduate attributes within individual courses and assessment. #RACIChemEd19 @RACI_ChemEd,critical,Negative
237,# Few ppl are giving the University of Georgia a Chance on Saturday. Keep up the positive vibes. L,positive,Positive
238,Blessed to have played for this University! #BoilerUp,NA,Neutral
239,Blessed to receive a offer from Elizabeth city state university,NA,Neutral
240,"University of St. Thomas to layoff faculty, reorganize departments amid renewal",layoff,Negative
241,Im pre-med and top 2% of my class at a large university. Try again.,top,Positive
242,@markehayes @gbuck_jr He went to Trump University...,NA,Neutral
243,"After JNU, Now Aazadi Slogans Raised In DU: University Headed For Crisis As Thousands Of Teachers Go On Strike Modi govt",NA,Neutral
244,"Tonight I am teaching Marketing 571 at the University of Phoenix. In Workshop 5, we cover advertising. Students will create",NA,Neutral
245,@AZweatherchick @CoconinoNF @NWSFlagstaff Heard those booms in University Heights in southwest #Flagstaff.,NA,Neutral
246,"The Little Cheerleader A KathNiel social serye where Sebastian, one of the universitys varsity player and top stud",top,Positive
247,@davidfrum Is it an online school? Was it affiliated with Trump University?,NA,Neutral
248,My favorite patch of fall leaves on campus.#fallleaves #ASU @tempegov @ Arizona State University-Tempe,NA,Neutral
249,"@DeplorableVandy @VandyFootball Disagree...think this is a good thing for ADMT. He can now show him, a unbiased opinion/view of how great athletics can be for a university!","favorite,good,unbiased,great",Positive
